runId,frame,focuser,width,height,pixelScale,detected,psfAccepted,psfFitFailed,saturated,hotpixelCount,hfrMedian,hfrMad,fwhmPxMedian,fwhmPxMad,fwhmPxP05,fwhmPxP95,fwhmPxMax,fwhmArcsecMedian,eccMedian,r2Median,scatterSD,detectMsNoPsf,detectMsWithPsf,psfMs
CWhiteFocus/AutoFocus_20220429_000244/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser20500.fits,20500,9576,6388,1.3257,3642,3263,305,79,113090,1.304822,0.101114,2.246141,0.137895,2.048133,2.583998,3.748744,2.977790,0.474815,0.987507,0.124036,3450.9,4496.3,1045.3
mccomiskey/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser18658.xisf,18658,11664,8750,0.2885,5455,2906,2541,8,92824,3.337676,0.479915,6.752696,0.476141,6.032960,7.981815,9.836511,1.948323,0.405346,0.957957,0.376474,5378.8,7890.1,2511.3
muggsie/AutoFocus_20220526_025003/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser46245.fits,46245,4144,2822,1.0336,734,653,65,16,1569739,1.531200,0.201125,2.761295,0.162357,2.461137,3.055383,3.696917,2.853954,0.435664,0.968288,0.178409,662.5,953.7,291.2
standard_example1/attempt01,04_Frame00_BitDepth16_Bayered0_Focuser2149.xisf,2149,9576,6388,1.1048,1085,950,134,2,14667,1.381879,0.156333,2.364520,0.179850,2.133951,2.843869,4.034865,2.612275,0.465995,0.979374,0.146476,3168.7,3433.0,264.3
timmer/5 AutoFocus_20260614_021244/attempt01,05_Frame00_BitDepth16_Bayered1_Focuser662.fits,662,6248,4176,5.9658,5581,4586,995,0,183122,1.915666,0.328329,4.073394,0.442025,3.332011,4.842267,6.471032,24.301104,0.395708,0.966383,0.455999,6335.9,8651.7,2315.8
toml999/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser4153.fits,4153,4656,3520,0.7394,2287,1737,530,22,778479,1.978366,0.267068,3.590177,0.241444,3.240266,3.969690,5.009165,2.654720,0.571888,0.957558,0.203108,953.7,1684.2,730.5
