runId,frame,focuser,width,height,pixelScale,detected,psfAccepted,psfFitFailed,saturated,hotpixelCount,hfrMedian,hfrMad,fwhmPxMedian,fwhmPxMad,fwhmPxP05,fwhmPxP95,fwhmPxMax,fwhmArcsecMedian,eccMedian,r2Median,scatterSD,detectMsNoPsf,detectMsWithPsf,psfMs
CWhiteFocus/AutoFocus_20220429_000244/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser20500.fits,20500,9576,6388,1.3257,3642,3269,299,79,113090,1.304822,0.101114,2.216701,0.134826,2.041262,2.563285,3.800389,2.938761,0.465399,0.986959,0.115992,3517.5,13869.1,10351.7
mccomiskey/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser18658.xisf,18658,11664,8750,0.2885,5455,2894,2553,8,92824,3.337676,0.479915,6.762380,0.457852,6.052148,7.911021,9.760061,1.951117,0.400184,0.957857,0.359216,5570.1,18422.3,12852.3
muggsie/AutoFocus_20220526_025003/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser46245.fits,46245,4144,2822,1.0336,734,655,63,16,1569739,1.531200,0.201125,2.768210,0.158604,2.459521,3.060330,3.603552,2.861101,0.432172,0.967614,0.175499,730.1,2120.2,1390.1
standard_example1/attempt01,04_Frame00_BitDepth16_Bayered0_Focuser2149.xisf,2149,9576,6388,1.1048,1085,955,129,2,14667,1.381879,0.156333,2.363440,0.176462,2.146983,2.819813,4.572616,2.611081,0.466635,0.978709,0.148483,3108.8,4769.2,1660.4
timmer/5 AutoFocus_20260614_021244/attempt01,05_Frame00_BitDepth16_Bayered1_Focuser662.fits,662,6248,4176,5.9658,5581,4589,992,0,183122,1.915666,0.328329,4.074879,0.444305,3.331405,4.843205,6.109340,24.309967,0.395747,0.966092,0.453708,6323.0,16557.3,10234.3
toml999/attempt01,05_Frame00_BitDepth16_Bayered0_Focuser4153.fits,4153,4656,3520,0.7394,2287,1745,522,22,778479,1.978366,0.267068,3.592969,0.232358,3.238429,3.970304,4.988120,2.656785,0.562256,0.957811,0.201821,939.2,4525.2,3586.0
